"","leagueId","queueType","tier","rank","summonerId","summonerName","leaguePoints","wins","losses","veteran","inactive","freshBlood","hotStreak"
"75","5cc4fe58-4e57-37f1-9dc3-7c32b2632923","RANKED_SOLO_5x5","CHALLENGER","I","YpskaBAqxVEfg_Qg7vd1XfGFR8cR-4w8ZxfKDB9TDFVqlrA","팀개못하면누누함","1079"," 450"," 359","TRUE","FALSE","FALSE","FALSE"
"76","5cc4fe58-4e57-37f1-9dc3-7c32b2632923","RANKED_SOLO_5x5","CHALLENGER","I","kPOWtSWZsY_GqGaZgk4QhxVimjrpRuCyUeywJoec_Z51cnY","모찌피치모찌피치","1078","1023"," 963","TRUE","FALSE","FALSE","FALSE"
"77","5cc4fe58-4e57-37f1-9dc3-7c32b2632923","RANKED_SOLO_5x5","CHALLENGER","I","w19jcYkeuo_6Dep1oUbv-8wyayIfQEQ5EASeBbgNGnz1jTA","shui di si chuan","1078"," 547"," 473","TRUE","FALSE","FALSE","TRUE"
"78","5cc4fe58-4e57-37f1-9dc3-7c32b2632923","RANKED_SOLO_5x5","CHALLENGER","I","H6UjQYgC9cDYJkREtquzh6XpmjnPEP4XlQhtjiyr1XWVJH8","T1 Berserker","1075","1006"," 981","TRUE","FALSE","FALSE","FALSE"
"79","5cc4fe58-4e57-37f1-9dc3-7c32b2632923","RANKED_SOLO_5x5","CHALLENGER","I","M9ax92fYerN9BZkM_1OeZ5zLRmsLkeryu0vnxqjJXuo7qZU","에르피디","1071"," 654"," 556","FALSE","FALSE","FALSE","FALSE"
"80","5cc4fe58-4e57-37f1-9dc3-7c32b2632923","RANKED_SOLO_5x5","CHALLENGER","I","7g9j_E9sDMmk6sYPo_eloWlCqbbRjBniuX3h7lr8hBj0J5c","1등 달리는 사람","1068"," 592"," 531","TRUE","FALSE","FALSE","FALSE"
"81","5cc4fe58-4e57-37f1-9dc3-7c32b2632923","RANKED_SOLO_5x5","CHALLENGER","I","PM5FX2t_163U6EBk-rX9WhZzKy-RLhooqkdYnpru3YHIILg","Fanch","1065"," 757"," 711","TRUE","FALSE","FALSE","FALSE"
"82","5cc4fe58-4e57-37f1-9dc3-7c32b2632923","RANKED_SOLO_5x5","CHALLENGER","I","VcvFC0y_0eICtFNXEuverrsctcy4VmHz8pYXq8GGH_tnmMU","xxxxxxx1","1064"," 867"," 772","FALSE","FALSE","FALSE","FALSE"
"83","5cc4fe58-4e57-37f1-9dc3-7c32b2632923","RANKED_SOLO_5x5","CHALLENGER","I","Bu8AlIOWXKFBFGMrDZIaD7fo4SKIwO-iN7pw-taOaNPAgE8","HSHTM","1061"," 834"," 752","FALSE","FALSE","FALSE","FALSE"
"84","5cc4fe58-4e57-37f1-9dc3-7c32b2632923","RANKED_SOLO_5x5","CHALLENGER","I","3SvSo0XjgDmeKnHOgoLg_E4f3xAqoVkk9-TFAVg7JiP6CoU","울부짖는마오카이","1059","1356","1281","FALSE","FALSE","FALSE","TRUE"
"85","5cc4fe58-4e57-37f1-9dc3-7c32b2632923","RANKED_SOLO_5x5","CHALLENGER","I","UjIF1YKeoTrOXS8RcqSTszq9QK6kJ4tngGCmRdf4mVyudXI","T1 Mirzz","1058"," 958"," 884","TRUE","FALSE","FALSE","FALSE"
"86","5cc4fe58-4e57-37f1-9dc3-7c32b2632923","RANKED_SOLO_5x5","CHALLENGER","I","a8yIILnolRojfQHcjAKjPgTPIFD2mKy6bUC1ltThi8zhPVsP","boom li ge1","1058"," 201"," 150","FALSE","FALSE","FALSE","FALSE"
"87","5cc4fe58-4e57-37f1-9dc3-7c32b2632923","RANKED_SOLO_5x5","CHALLENGER","I","mcnvDg2o0L4WCDQrShRtYcSzasVq9JxGFcGDpclOiKokmvo","FA Ruby","1047"," 680"," 620","TRUE","FALSE","FALSE","FALSE"
"88","5cc4fe58-4e57-37f1-9dc3-7c32b2632923","RANKED_SOLO_5x5","CHALLENGER","I","JBzujtgsSYU1yPZ4yqoYYszZMzJc1HmZvCXgR0MyydOxGIE","원딜 왕자 이채환","1046"," 377"," 300","TRUE","FALSE","FALSE","FALSE"
"89","5cc4fe58-4e57-37f1-9dc3-7c32b2632923","RANKED_SOLO_5x5","CHALLENGER","I","rGp38rranLEjskqgk8DaIc21Y-GarAo2fWNa26c4LdhA6Q","sheidodabuguo","1040"," 747"," 687","FALSE","FALSE","FALSE","FALSE"
"90","5cc4fe58-4e57-37f1-9dc3-7c32b2632923","RANKED_SOLO_5x5","CHALLENGER","I","5TiJGVgJSTUwlxxsls9P-Ol-kSK8fdEfRDJozoAzetdC2KM","zyb","1040"," 529"," 424","TRUE","FALSE","FALSE","FALSE"
"91","5cc4fe58-4e57-37f1-9dc3-7c32b2632923","RANKED_SOLO_5x5","CHALLENGER","I","MGp--eC3VLcCWy6u_ApRnOzesZQckpgKZGxCGknZne02VA","탑 혜지","1037","1185","1125","TRUE","FALSE","FALSE","FALSE"
"92","5cc4fe58-4e57-37f1-9dc3-7c32b2632923","RANKED_SOLO_5x5","CHALLENGER","I","6Gk_g1Y2YS0deptD7UJVazPOJ5Eh9OloQBMXq_B6xI7rIC8","I dont know ZZ","1037"," 872"," 782","FALSE","FALSE","FALSE","FALSE"
"93","5cc4fe58-4e57-37f1-9dc3-7c32b2632923","RANKED_SOLO_5x5","CHALLENGER","I","_WwoPh2IyZQiWv4b0SZcfVQ8ugRJyVVe7EYubsfxrXiTGjg","ZED99","1035"," 529"," 405","TRUE","FALSE","FALSE","FALSE"
"94","5cc4fe58-4e57-37f1-9dc3-7c32b2632923","RANKED_SOLO_5x5","CHALLENGER","I","M-ziBk70EJZy6_9q0aBWCNJ_1Mkui0fIHZSJwo6zshobiSo","뷔이스타","1029"," 391"," 337","TRUE","FALSE","FALSE","FALSE"
"95","5cc4fe58-4e57-37f1-9dc3-7c32b2632923","RANKED_SOLO_5x5","CHALLENGER","I","qIAyIjmQBz5CsUVTOi_sgy4qQ0udAPxZim7ezLp_O3ZSnXk","boom1boom","1029"," 309"," 223","FALSE","FALSE","FALSE","FALSE"
"96","5cc4fe58-4e57-37f1-9dc3-7c32b2632923","RANKED_SOLO_5x5","CHALLENGER","I","7iccsD8hx9EzPs4xOJkog179rujIE1MDA1LiR9zuA8YqBCI","Liiv Summ1t","1025"," 366"," 315","FALSE","FALSE","FALSE","FALSE"
"97","5cc4fe58-4e57-37f1-9dc3-7c32b2632923","RANKED_SOLO_5x5","CHALLENGER","I","n4jBjH8pQvspQyzb5kFY8N_-3TrXpM7bCfG1AuPk5aMIc8I","epoh on ","1024","1283","1240","TRUE","FALSE","FALSE","TRUE"
"98","5cc4fe58-4e57-37f1-9dc3-7c32b2632923","RANKED_SOLO_5x5","CHALLENGER","I","fvu-j2kceofADOB1VIOIzGUMkSKdBZ9Bnw9MDi7jwNkXYgE","sdxsdx156","1024","1061","1008","FALSE","FALSE","FALSE","FALSE"
"99","5cc4fe58-4e57-37f1-9dc3-7c32b2632923","RANKED_SOLO_5x5","CHALLENGER","I","0VNgz5Kse0NC9jbViekGDtizOzS8yZX49u9kONiuK0u_cUU","혼자 온 세상","1021"," 608"," 541","TRUE","FALSE","FALSE","FALSE"
"100","5cc4fe58-4e57-37f1-9dc3-7c32b2632923","RANKED_SOLO_5x5","CHALLENGER","I","ISVfb8MyV_PNfJLDV9yn_L95jkDvFt8p-EAJiwFTypF5G24","Wwave","1021"," 436"," 296","TRUE","FALSE","FALSE","FALSE"
"101","5cc4fe58-4e57-37f1-9dc3-7c32b2632923","RANKED_SOLO_5x5","CHALLENGER","I","klNymPfwH0A-jtoXI1HCDfquoEXBPJMxm8rMVX34l_todg","미쳐놈","1019","1073"," 987","TRUE","FALSE","FALSE","FALSE"
"102","5cc4fe58-4e57-37f1-9dc3-7c32b2632923","RANKED_SOLO_5x5","CHALLENGER","I","LUKElAjkXZXLaD7dLfMcA53lobU6tY-oC5KwTIERFwS7WzM","뿡뿡이최우제","1017"," 769"," 713","TRUE","FALSE","FALSE","FALSE"
"103","5cc4fe58-4e57-37f1-9dc3-7c32b2632923","RANKED_SOLO_5x5","CHALLENGER","I","2AhOJ48eUcc6Miq8-8Ljdn6__SC_iEt-ak_6t6S9F4O80k8","타 잔","1016"," 663"," 576","FALSE","FALSE","FALSE","FALSE"
"104","5cc4fe58-4e57-37f1-9dc3-7c32b2632923","RANKED_SOLO_5x5","CHALLENGER","I","GtMTgZR4Zq2Tg4eQsFcIEjteWCaEi8be0ZGYhCoSZBFpWvg","concesslon","1016"," 533"," 474","FALSE","FALSE","FALSE","TRUE"
"105","5cc4fe58-4e57-37f1-9dc3-7c32b2632923","RANKED_SOLO_5x5","CHALLENGER","I","gUOnBLm09KOF1lquV_ubxuuzTvu_QZhH7jaBt3nbLF1u-A","금현성2","1014"," 555"," 483","FALSE","FALSE","FALSE","FALSE"
"106","5cc4fe58-4e57-37f1-9dc3-7c32b2632923","RANKED_SOLO_5x5","CHALLENGER","I","hu6NyvSjmW6kktTDkW_UAq6sZLw74nu6xg8jwqHzDCs03rk","Awe Smash","1014"," 344"," 283","FALSE","FALSE","FALSE","TRUE"
"107","5cc4fe58-4e57-37f1-9dc3-7c32b2632923","RANKED_SOLO_5x5","CHALLENGER","I","LvwlGQ3DDsPkGMMF3q1XbbCdLnzZEr2-nj75-hnmdvs5L1Y","zywbzdcs","1012"," 850"," 802","FALSE","FALSE","FALSE","FALSE"
"108","5cc4fe58-4e57-37f1-9dc3-7c32b2632923","RANKED_SOLO_5x5","CHALLENGER","I","7FW7u40RCGpvA5svNqfdak4FTCKKQSsDqPdGQXysFrEqI58","FA 레이닝","1012"," 552"," 475","TRUE","FALSE","FALSE","FALSE"
"109","5cc4fe58-4e57-37f1-9dc3-7c32b2632923","RANKED_SOLO_5x5","CHALLENGER","I","aRhVgY8O1VXiUkVLyllSd_iIPIvxWLR3aV7Q7x42djtN1Z0","NS Bull","1010"," 889"," 746","TRUE","FALSE","FALSE","FALSE"
"110","5cc4fe58-4e57-37f1-9dc3-7c32b2632923","RANKED_SOLO_5x5","CHALLENGER","I","4lqibE5HVRlpKN--VjIni_6UUoWjQjri88E3ySbaLcwOu4g","안녕 맬","1009"," 775"," 714","FALSE","FALSE","TRUE","TRUE"
"111","5cc4fe58-4e57-37f1-9dc3-7c32b2632923","RANKED_SOLO_5x5","CHALLENGER","I","iMVkjrHWkMNJBUSu_NMLou5VmWHDDqLcNM0Wbljen70tQ_Q","볼붕이1","1008"," 774"," 653","FALSE","FALSE","FALSE","TRUE"
"112","5cc4fe58-4e57-37f1-9dc3-7c32b2632923","RANKED_SOLO_5x5","CHALLENGER","I","NX7ZFUt2D1xIuku4TUJ_YEsaMLnL0mBNORbTQ8rawfyPd_rX","스카이시현","1008"," 223"," 120","FALSE","FALSE","FALSE","FALSE"
"113","5cc4fe58-4e57-37f1-9dc3-7c32b2632923","RANKED_SOLO_5x5","CHALLENGER","I","fqjdXYDybhW6SALyhBIbERG01TQu72pX4a3Z6H-NoITm8A8","mmqm","1007","1056"," 985","FALSE","FALSE","FALSE","TRUE"
"114","5cc4fe58-4e57-37f1-9dc3-7c32b2632923","RANKED_SOLO_5x5","CHALLENGER","I","n07J_ikzsktyINUwHWhBLpapil124raekqtTkWnMwGLLwsQ","유리Yur1","1007"," 605"," 538","FALSE","FALSE","FALSE","TRUE"
"115","5cc4fe58-4e57-37f1-9dc3-7c32b2632923","RANKED_SOLO_5x5","CHALLENGER","I","gILwQwOkR8Ci17Ufj2NhEfJxfOmFXhAI9Mff7zFDfzUpFMY","캐 인","1007"," 375"," 352","TRUE","FALSE","FALSE","FALSE"
"116","5cc4fe58-4e57-37f1-9dc3-7c32b2632923","RANKED_SOLO_5x5","CHALLENGER","I","CaCYmqAz5qZOaFQldDH-zFMZ3FVR5_tOYomg1x1AZQI49ak","qwer112233","1006"," 612"," 542","TRUE","FALSE","FALSE","FALSE"
"117","5cc4fe58-4e57-37f1-9dc3-7c32b2632923","RANKED_SOLO_5x5","CHALLENGER","I","1UiOgaZDMiOeX9jSvwFlMEfEnjSd17UGK9OW1LJ492dMmLP1","xiaoyushizhu","1006"," 334"," 215","FALSE","FALSE","FALSE","TRUE"
