"","a99","name","a12","a9","FBK","DRG","kills_ADC","deaths_ADC","assists_ADC","kills_SUP","deaths_SUP","assists_SUP","ADC","SUP","KDA_mean","totalDamageDealtToChampions_mean","visionScore_mean","totalDamageTaken_mean","goldEarned_mean","visionWardsBoughtInGame_mean"
"31010",4908885996,"Orianna & Sett",200,FALSE,FALSE,FALSE,3,5,1,2,9,3,"Orianna","Sett",0.64,10938,23,16596,6889,3
"21247",4908921727,"Aphelios & Thresh",100,FALSE,FALSE,FALSE,5,5,3,1,7,6,"Aphelios","Thresh",1.25,9141.5,31,13425.5,7714,5
"31011",4908921727,"Kai'Sa & Alistar",200,TRUE,FALSE,TRUE,9,2,6,2,3,11,"Kai'Sa","Alistar",5.6,9354.5,32,10594,9520.5,6.5
"1921",4908929111,"Jhin & Alistar",100,TRUE,FALSE,TRUE,7,4,8,0,4,21,"Jhin","Alistar",4.5,13103,48,19913,9997,4
"41157",4908929111,"Aphelios & Thresh",200,FALSE,FALSE,FALSE,5,3,6,4,7,10,"Aphelios","Thresh",2.5,17857,53.5,17868,10421.5,10.5
"21248",4908952396,"Kai'Sa & Galio",100,FALSE,FALSE,TRUE,2,3,5,1,6,9,"Kai'Sa","Galio",1.89,12337.5,56,20329.5,12123,7.5
"41158",4908952396,"Cassiopeia & Thresh",200,TRUE,TRUE,FALSE,5,7,10,1,3,13,"Cassiopeia","Thresh",2.9,13380,61.5,14026,10645.5,14.5
"1922",4908955313,"Samira & Galio",100,FALSE,FALSE,TRUE,5,6,1,1,7,5,"Samira","Galio",0.92,9334,31,16515,7207,5.5
"41159",4908955313,"Tristana & Alistar",200,TRUE,FALSE,FALSE,10,6,5,2,1,14,"Tristana","Alistar",4.43,11795.5,42.5,14380,9797,6
"21249",4908988069,"Kai'Sa & Sett",100,FALSE,TRUE,TRUE,7,7,4,2,5,7,"Kai'Sa","Sett",1.67,11350,26.5,16516,9119,5
"41160",4908988069,"Jhin & Rell",200,TRUE,TRUE,FALSE,3,3,11,1,3,8,"Jhin","Rell",3.83,6526,32.5,9649,7705,4.5
"21250",4908999212,"Yasuo & Thresh",100,FALSE,FALSE,FALSE,1,6,2,2,7,7,"Yasuo","Thresh",0.92,7034.5,24,18149.5,7102,6
"31012",4908999212,"Ezreal & Sett",200,TRUE,FALSE,TRUE,13,4,7,4,2,12,"Ezreal","Sett",6,16297.5,34,14008.5,9669,7
"1923",4909004871,"Kai'Sa & Shaco",100,TRUE,TRUE,TRUE,17,6,2,1,3,10,"Kai'Sa","Shaco",3.33,13058,36.5,11894.5,10433,4
"31013",4909004871,"Samira & Alistar",200,FALSE,TRUE,FALSE,6,5,1,0,7,5,"Samira","Alistar",1,8590,20.5,15975.5,7660.5,6.5
"21251",4909034676,"Miss Fortune & Karma",100,FALSE,FALSE,FALSE,3,8,3,0,10,6,"Miss Fortune","Karma",0.67,9919,36,14360,7116.5,7
"41161",4909034676,"Lucian & Sett",200,TRUE,TRUE,TRUE,13,4,11,2,4,15,"Lucian","Sett",5.12,16623.5,46.5,15362,10169.5,3.5
"1924",4909048845,"Kai'Sa & Rell",100,FALSE,FALSE,FALSE,1,6,1,0,9,3,"Kai'Sa","Rell",0.33,5972,25,16119,5994.5,5.5
"31014",4909048845,"Jhin & Yuumi",200,TRUE,FALSE,TRUE,13,1,13,4,0,25,"Jhin","Yuumi",55,19974,26.5,10696.5,10962,2.5
"1925",4909053064,"Aphelios & Annie",100,TRUE,FALSE,FALSE,13,8,14,2,10,23,"Aphelios","Annie",2.89,24403.5,69.5,22418.5,13516,7.5
"41162",4909053064,"Jhin & Sett",200,FALSE,FALSE,TRUE,17,10,5,1,8,15,"Jhin","Sett",2.11,18431,68,28865.5,13441.5,13.5
"21252",4909053739,"Jhin & Yuumi",100,TRUE,FALSE,FALSE,12,4,11,1,4,27,"Jhin","Yuumi",6.38,25016.5,58.5,15961,13604,3.5
"31015",4909053739,"Miss Fortune & Galio",200,FALSE,FALSE,TRUE,5,9,10,1,8,11,"Miss Fortune","Galio",1.59,17696.5,54.5,23723,9506,12
"21253",4909056091,"Aphelios & Thresh",100,TRUE,FALSE,FALSE,7,5,2,0,4,7,"Aphelios","Thresh",1.78,10971.5,59.5,13830,10166.5,7
"41163",4909056091,"Lucian & Leona",200,FALSE,FALSE,TRUE,0,2,5,0,2,13,"Lucian","Leona",4.5,5454.5,53.5,12026.5,7739.5,10
"21254",4909059762,"Yone & Galio",100,FALSE,FALSE,FALSE,4,8,7,1,8,7,"Yone","Galio",1.19,12910,31,21339,8214.5,9
"41164",4909059762,"Samira & Zac",200,TRUE,FALSE,TRUE,9,5,9,3,4,22,"Samira","Zac",4.78,17206,37,22020,11264.5,4
"1926",4909089673,"Jinx & Janna",100,TRUE,FALSE,TRUE,5,4,7,1,3,16,"Jinx","Janna",4.14,10855,42.5,14626.5,8509,7.5
"41165",4909089673,"Jhin & Thresh",200,FALSE,FALSE,FALSE,5,3,6,2,7,11,"Jhin","Thresh",2.4,9606,31.5,15603.5,8012.5,7
"1927",4909132798,"Samira & Leona",100,TRUE,FALSE,FALSE,5,4,12,1,4,17,"Samira","Leona",4.38,9639,29.5,13458.5,8078.5,5
"41166",4909132798,"Aphelios & Thresh",200,FALSE,FALSE,TRUE,1,9,7,2,6,10,"Aphelios","Thresh",1.33,6927.5,34.5,12431,7347.5,6
"21255",4909139837,"Lucian & Thresh",100,FALSE,FALSE,TRUE,6,9,6,0,4,16,"Lucian","Thresh",2.15,19850.5,63.5,35919,12299.5,13
"41167",4909139837,"Samira & Pantheon",200,TRUE,TRUE,FALSE,4,6,5,3,8,10,"Samira","Pantheon",1.57,15982,63.5,30653.5,14440,8.5
"1928",4909170664,"Lucian & Pantheon",100,FALSE,FALSE,FALSE,5,4,6,3,10,7,"Lucian","Pantheon",1.5,12362,36,18579,8684.5,9
"31016",4909170664,"Jhin & Maokai",200,TRUE,FALSE,TRUE,8,2,11,1,3,15,"Jhin","Maokai",7,15334.5,44,16664,10157,10
"1929",4909173112,"Jhin & Alistar",100,FALSE,FALSE,FALSE,6,9,5,3,6,12,"Jhin","Alistar",1.73,10168,29,18516,9557,6.5
"31017",4909173112,"Kai'Sa & Pantheon",200,TRUE,FALSE,TRUE,13,1,10,4,5,9,"Kai'Sa","Pantheon",6,20012.5,52.5,17986.5,12915,5.5
"21256",4909173397,"Kai'Sa & Thresh",100,TRUE,FALSE,FALSE,3,4,14,4,3,18,"Kai'Sa","Thresh",5.57,8428.5,52.5,12517,8913,6
"41168",4909173397,"Samira & Leona",200,FALSE,FALSE,TRUE,3,9,5,1,9,6,"Samira","Leona",0.83,11377.5,32.5,18609,7852.5,5
"21257",4909200277,"Jhin & Bard",100,FALSE,FALSE,TRUE,4,6,2,0,6,8,"Jhin","Bard",1.17,5817,33,14008,6319.5,4
"41169",4909200277,"Kai'Sa & Leona",200,TRUE,FALSE,FALSE,13,1,7,1,3,13,"Kai'Sa","Leona",8.5,16058.5,31,13199.5,10072.5,5
"1930",4909208371,"Lucian & Maokai",100,TRUE,FALSE,FALSE,7,10,8,2,6,18,"Lucian","Maokai",2.19,18853,55,31393,12037.5,6.5
"41170",4909208371,"Yone & Yuumi",200,FALSE,FALSE,TRUE,3,8,9,5,6,20,"Yone","Yuumi",2.64,16362.5,60,23682.5,11726,9.5
"1931",4909208688,"Kai'Sa & Leona",100,FALSE,FALSE,FALSE,3,6,6,1,6,7,"Kai'Sa","Leona",1.42,7694,32,18055,7949,8
"41171",4909208688,"Ezreal & Braum",200,TRUE,FALSE,TRUE,8,1,9,3,2,17,"Ezreal","Braum",12.33,19768.5,52.5,17733,11182,6
"1932",4909211079,"Aphelios & Thresh",100,FALSE,FALSE,FALSE,4,6,1,1,6,10,"Aphelios","Thresh",1.33,10356,24,13246,7564,4.5
"31018",4909211079,"Kai'Sa & Maokai",200,TRUE,FALSE,TRUE,9,4,6,5,2,7,"Kai'Sa","Maokai",4.5,12388.5,34,14313,9797.5,4.5
"1933",4909214199,"Jhin & Thresh",100,FALSE,FALSE,FALSE,5,8,7,1,8,14,"Jhin","Thresh",1.69,16702.5,58.5,23841.5,10392.5,10
"31019",4909214199,"Kai'Sa & Maokai",200,TRUE,FALSE,TRUE,10,6,11,2,6,12,"Kai'Sa","Maokai",2.92,23170,49.5,23373.5,11913,7.5
"21258",4909225445,"Syndra & Sett",100,FALSE,FALSE,TRUE,4,12,6,0,11,11,"Syndra","Sett",0.91,14955.5,79.5,29973,10586.5,14
