"","a99","gameVersion","a11","kills","deaths","assists","totalDamageDealt","visionScore","totalDamageTaken","goldEarned","visionWardsBoughtInGame","a9","lll"
"93",4635434090,"10.18.333.8889",117,3,5,20,32077,86,19097,10067,12,TRUE,"SUP"
"94",4635456176,"10.18.333.8889",432,1,4,16,23480,51,8749,6572,7,TRUE,"SUP"
"95",4635456176,"10.18.333.8889",202,6,2,7,123285,24,8289,10794,3,TRUE,"BOT_CARRY"
"96",4636220051,"10.18.333.8889",29,3,2,7,80041,13,9923,9049,1,TRUE,"BOT_CARRY"
"97",4636220051,"10.18.333.8889",57,2,3,10,23269,50,6638,6468,5,TRUE,"SUP"
"98",4636273256,"10.18.333.8889",89,3,3,16,30613,104,15866,9789,11,TRUE,"SUP"
"99",4636273256,"10.18.333.8889",29,8,3,13,189482,33,19902,16131,1,TRUE,"BOT_CARRY"
"100",4636303009,"10.18.333.8889",555,4,1,8,19430,78,10902,9297,11,TRUE,"SUP"
"101",4636303009,"10.18.333.8889",29,9,2,5,131963,28,11796,12465,3,TRUE,"BOT_CARRY"
"102",4636472227,"10.18.333.8889",117,0,6,15,8600,39,8681,6609,10,TRUE,"SUP"
"103",4636569223,"10.18.333.8889",43,5,1,16,34829,61,7458,8764,5,TRUE,"SUP"
"104",4636569223,"10.18.333.8889",81,8,1,11,140604,22,11490,11920,3,TRUE,"BOT_CARRY"
"105",4637086319,"10.18.333.8889",81,15,3,17,172377,7,16155,14346,0,TRUE,"BOT_CARRY"
"106",4637086319,"10.18.333.8889",432,6,3,19,24152,63,8465,8314,7,TRUE,"SUP"
"107",4637605322,"10.18.333.8889",115,4,1,5,141480,13,5614,11036,1,TRUE,"BOT_CARRY"
"108",4637605322,"10.18.333.8889",432,1,5,11,16411,26,14178,6073,7,TRUE,"SUP"
"109",4637667797,"10.18.333.8889",432,6,6,22,48672,94,22955,10493,18,TRUE,"SUP"
"110",4637737860,"10.18.333.8889",81,4,1,6,72149,19,3795,8439,3,TRUE,"BOT_CARRY"
"111",4637737860,"10.18.333.8889",432,0,0,12,21806,70,7778,5467,7,TRUE,"SUP"
"112",4641561896,"10.18.333.8889",412,2,2,16,20801,59,11908,7736,11,TRUE,"SUP"
"113",4641561896,"10.18.333.8889",81,7,1,10,139393,27,8604,13544,5,TRUE,"BOT_CARRY"
"114",4641808984,"10.18.333.8889",432,2,6,21,25186,65,15685,7805,5,TRUE,"SUP"
"115",4641948696,"10.18.333.8889",432,3,4,18,22053,61,11813,7101,5,TRUE,"SUP"
"116",4643486003,"10.18.333.8889",432,3,4,13,14749,49,15066,6711,7,TRUE,"SUP"
"117",4643486003,"10.18.333.8889",18,3,5,3,94488,16,12117,8907,1,TRUE,"BOT_CARRY"
"118",4644664520,"10.18.333.8889",69,7,1,5,158712,42,20404,12740,6,TRUE,"BOT_CARRY"
"119",4644664520,"10.18.333.8889",99,3,6,16,24741,95,10255,8586,8,TRUE,"SUP"
"120",4644816055,"10.18.333.8889",96,11,5,11,192411,20,21901,14068,2,TRUE,"BOT_CARRY"
"121",4644816055,"10.18.333.8889",117,0,2,24,23366,69,8386,8984,7,TRUE,"SUP"
"122",4644832679,"10.18.333.8889",236,5,4,6,144479,10,15355,10969,2,TRUE,"BOT_CARRY"
"123",4644832679,"10.18.333.8889",12,1,1,14,12902,46,12674,6681,10,TRUE,"SUP"
"124",4644917953,"10.18.333.8889",25,1,3,17,21673,45,8714,7100,7,TRUE,"SUP"
"125",4644917953,"10.18.333.8889",81,3,7,11,94896,16,13609,9367,1,TRUE,"BOT_CARRY"
"126",4646519612,"10.18.333.8889",69,7,7,12,178617,50,33380,14293,2,TRUE,"BOT_CARRY"
"127",4646519612,"10.18.333.8889",432,3,1,20,41610,100,21548,10399,6,TRUE,"SUP"
"128",4646550628,"10.18.333.8889",43,0,1,15,22842,40,6250,5968,6,TRUE,"SUP"
"129",4646550628,"10.18.333.8889",202,7,2,5,115661,9,11634,10872,2,TRUE,"BOT_CARRY"
"130",4646966562,"10.18.333.8889",117,4,0,17,30566,47,8417,8647,6,TRUE,"SUP"
"131",4646966562,"10.18.333.8889",110,9,2,7,165700,27,14121,13534,3,TRUE,"BOT_CARRY"
"132",4648363017,"10.18.333.8889",202,10,3,15,157948,22,12902,13708,7,TRUE,"BOT_CARRY"
"133",4648363017,"10.18.333.8889",432,3,7,23,23019,83,16959,8023,11,TRUE,"SUP"
"134",4648540775,"10.18.333.8889",432,2,7,20,32289,80,18373,8546,10,TRUE,"SUP"
"135",4648540775,"10.18.333.8889",81,16,6,15,174237,25,22661,16451,3,TRUE,"BOT_CARRY"
"136",4648713291,"10.18.333.8889",497,0,6,29,21470,77,17699,8833,9,TRUE,"SUP"
"137",4649928171,"10.19.335.4706",432,3,0,18,24174,105,11903,8261,10,TRUE,"SUP"
"138",4649928171,"10.19.335.4706",22,13,1,7,140505,50,12181,14444,3,TRUE,"BOT_CARRY"
"139",4651558873,"10.19.335.4706",497,2,3,13,13903,66,11000,6665,7,TRUE,"SUP"
"140",4654079313,"10.19.335.4706",22,4,5,18,185215,49,18944,14103,3,TRUE,"BOT_CARRY"
"141",4654079313,"10.19.335.4706",223,0,6,22,27739,65,25271,8550,12,TRUE,"SUP"
"142",4654582612,"10.19.335.4706",81,4,3,5,226550,25,18279,14536,2,TRUE,"BOT_CARRY"
"143",4654582612,"10.19.335.4706",117,4,5,12,26047,95,15190,8841,11,TRUE,"SUP"
"144",4655051742,"10.19.335.4706",81,3,3,7,195141,40,14891,13881,2,TRUE,"BOT_CARRY"
"145",4655051742,"10.19.335.4706",432,1,3,12,32943,125,16212,8733,14,TRUE,"SUP"
"146",4655447677,"10.19.335.4706",22,5,3,21,134959,28,14032,12810,5,TRUE,"BOT_CARRY"
"147",4655447677,"10.19.335.4706",161,7,10,16,42361,62,16060,9008,3,TRUE,"SUP"
"148",4655465287,"10.19.335.4706",111,1,3,14,21277,71,11751,8879,9,TRUE,"SUP"
"149",4655465287,"10.19.335.4706",21,10,4,10,263763,43,16148,17043,8,TRUE,"BOT_CARRY"
"150",4655622111,"10.19.335.4706",22,3,8,20,204293,57,26646,13941,3,TRUE,"BOT_CARRY"
"151",4655622111,"10.19.335.4706",25,4,5,30,32732,82,20171,11095,10,TRUE,"SUP"
"152",4655695460,"10.19.336.4199",29,5,4,11,155705,14,15627,12123,1,TRUE,"BOT_CARRY"
"153",4655695460,"10.19.336.4199",497,0,4,15,17313,98,11245,7553,14,TRUE,"SUP"
"154",4656922880,"10.19.336.4199",202,18,3,11,265511,22,18074,19138,1,TRUE,"BOT_CARRY"
"155",4656922880,"10.19.336.4199",432,2,10,23,29916,88,24848,8926,13,TRUE,"SUP"
"156",4657283344,"10.19.336.4199",236,11,3,7,158456,26,18119,12990,7,TRUE,"BOT_CARRY"
"157",4657283344,"10.19.336.4199",111,1,3,18,34689,45,15317,7381,7,TRUE,"SUP"
"158",4660789107,"10.19.336.4199",145,5,2,4,144063,41,12781,12126,6,TRUE,"BOT_CARRY"
"159",4660789107,"10.19.336.4199",80,2,6,7,33188,90,15150,8028,11,TRUE,"SUP"
"160",4660815856,"10.19.336.4199",412,2,4,23,23321,84,18530,8986,9,TRUE,"SUP"
"161",4660815856,"10.19.336.4199",202,14,4,16,297908,31,27381,18396,3,TRUE,"BOT_CARRY"
"162",4661677080,"10.19.336.4199",22,3,5,14,173124,24,21157,13570,3,TRUE,"BOT_CARRY"
"163",4661677080,"10.19.336.4199",12,1,4,17,26761,66,22888,7974,7,TRUE,"SUP"
"164",4661836937,"10.19.336.4199",57,2,5,10,39501,52,25333,8739,5,TRUE,"SUP"
"165",4661836937,"10.19.336.4199",21,7,4,7,296706,50,32018,18251,5,TRUE,"BOT_CARRY"
"166",4661886275,"10.19.336.4199",202,4,1,8,132865,10,10620,11602,0,TRUE,"BOT_CARRY"
"167",4661886275,"10.19.336.4199",875,4,5,5,26248,50,16790,7070,7,TRUE,"SUP"
"168",4661930562,"10.19.336.4199",497,1,5,26,25686,75,12651,8628,6,TRUE,"SUP"
"169",4661930562,"10.19.336.4199",18,18,3,9,210011,17,15394,18104,3,TRUE,"BOT_CARRY"
"170",4662006743,"10.19.336.4199",236,13,5,9,167873,33,17091,15760,2,TRUE,"BOT_CARRY"
"171",4662006743,"10.19.336.4199",89,1,6,22,25225,69,18152,8291,10,TRUE,"SUP"
"172",4662114502,"10.19.336.4199",145,13,3,4,152192,25,11712,14609,3,TRUE,"BOT_CARRY"
"173",4662114502,"10.19.336.4199",80,4,3,10,36538,53,11841,8433,7,TRUE,"SUP"
"174",4662202821,"10.19.336.4199",35,4,9,14,40201,73,19224,9714,7,TRUE,"SUP"
"175",4662202821,"10.19.336.4199",523,10,9,10,232300,54,19831,16574,5,TRUE,"BOT_CARRY"
"176",4662255116,"10.19.336.4199",21,8,6,12,200991,37,17837,14224,2,TRUE,"BOT_CARRY"
"177",4662255116,"10.19.336.4199",117,3,2,20,29093,87,15401,9725,0,TRUE,"SUP"
"178",4662299390,"10.19.336.4199",12,2,9,14,19846,61,21961,7710,14,TRUE,"SUP"
"179",4662448778,"10.19.336.4199",51,5,7,15,155398,22,14947,12291,1,TRUE,"BOT_CARRY"
"180",4662448778,"10.19.336.4199",350,1,5,18,16046,53,6727,7670,9,TRUE,"SUP"
"181",4663095492,"10.19.336.4199",432,3,1,10,19208,67,5824,6545,2,TRUE,"SUP"
